i,time,PWM_l,PWM_r,x,y,theta
0,0.0,0.5,0.25,-900.0,-500.0,1.5707963267948966
1,0.1,0.5,0.25,-900.0,-489.30509157563074,1.5052815929194867
2,0.2,0.5,0.25,-899.3040872908412,-478.5543413922536,1.4391230690395573
3,0.30000000000000004,0.5,0.25,-897.921355619736,-467.9552538109115,1.3734561108515204
4,0.4,0.5,0.25,-895.8419214844325,-457.4542663832546,1.3065701585053637
5,0.5,0.5,0.25,-893.0606034027313,-447.0974885357667,1.2403574400081614
6,0.6000000000000001,0.5,0.25,-889.5953540307182,-437.03218420515526,1.1736478486316408
7,0.7000000000000001,0.5,0.25,-885.5716196300683,-427.2476331733986,1.1073977670808814
8,0.8,0.5,0.25,-880.8459769315579,-417.7739689584984,1.040990718074564
9,0.9,0.5,0.25,-875.4907854983963,-408.7229461968896,0.9743993156832037
10,1.0,0.5,0.25,-869.542722629531,-399.97398748477366,0.9079516874036853
11,1.1,0.5,0.25,-862.9996659945247,-391.5928142281613,0.8413664861150858
12,1.2000000000000002,0.5,0.25,-855.9300567582358,-383.54020595821186,0.7756906759942006
13,1.3,0.5,0.25,-848.302976373519,-376.0866218331023,0.7100776851686472
14,1.4000000000000001,0.5,0.25,-840.2706795956317,-369.12828050253665,0.6440789201511905
15,1.5,0.5,0.25,-831.808445894107,-362.78831727340764,0.5776753225961934
16,1.6,0.5,0.25,-822.7591697092803,-357.1161974013101,0.5119428765183857
17,1.7000000000000002,0.5,0.25,-813.4093245485362,-351.91517077111513,0.44533964992701286
18,1.8,0.5,0.25,-803.938466329851,-347.2746913925416,0.37885805200920064
19,1.9000000000000001,0.5,0.25,-794.0554687494995,-343.2557656674551,0.3126675876887277
20,2.0,0.5,0.25,-784.0351657880459,-340.01107442271973,0.24664258862934837
21,2.1,0.5,0.25,-773.5841914588095,-337.42897256577487,0.18050033928386128
22,2.2,0.5,0.25,-763.0096447097221,-335.5381474796215,0.1128969279118545
23,2.3000000000000003,0.5,0.25,-752.3863042668975,-334.3530502017079,0.04591473748819777
24,2.4000000000000004,0.5,0.25,-741.6747308241729,-333.8657651013015,6.264120834087093
25,2.5,0.5,0.25,-730.9671973750354,-334.0683085964273,6.19795260843578
26,2.6,0.5,0.25,-720.3340923944644,-334.97741512470435,6.131662519826128
27,2.7,0.5,0.25,-709.8373907505724,-336.583186414834,6.066036421485957
28,2.8000000000000003,0.5,0.25,-699.3328182904107,-338.8302129716626,5.999939688558108
29,2.9000000000000004,0.5,0.25,-689.0524884286488,-341.8115966051892,5.933155355882796
30,3.0,0.5,0.25,-679.1459551673591,-345.43982122846046,5.866086385675748
31,3.1,0.5,0.25,-669.2467128734022,-349.74510408445315,5.800557650672498
32,3.2,0.5,0.25,-659.8097362787354,-354.63570381794074,5.734842972406801
33,3.3000000000000003,0.5,0.25,-650.585208872438,-360.1952565908215,5.6690461287917495
34,3.4000000000000004,0.5,0.25,-641.9693676611134,-366.2958699738808,5.602814981473777
35,3.5,0.5,0.25,-633.7116526138989,-373.08518982560867,5.537154641939157
36,3.6,0.5,0.25,-625.7351043161801,-380.1166823561332,5.470989930482939
37,3.7,0.5,0.25,-618.446201025162,-387.75281291440996,5.404213171862276
38,3.8000000000000003,0.5,0.25,-611.6438311656549,-395.89085392136724,5.338523636728765
39,3.9000000000000004,0.5,0.25,-605.4510746831769,-404.5406647761299,5.2724106695717134
40,4.0,0.5,0.25,-599.7198154973199,-413.514827399015,5.207616489699269
41,4.1000000000000005,0.5,0.25,-594.7111485372873,-422.92219337190545,5.141230485283635
42,4.2,0.5,0.25,-590.2457337535336,-432.66095623810634,5.075138617716929
43,4.3,0.5,0.25,-586.468095686907,-442.43678269168686,5.008326313734433
44,4.4,0.5,0.25,-583.372423634111,-452.72600720991176,4.9423132960956755
45,4.5,0.5,0.25,-580.9545860999053,-463.17565521916185,4.876089218940213
46,4.6000000000000005,0.5,0.25,-579.2233008587926,-473.5203039575852,4.81012105741557
47,4.7,0.5,0.25,-578.1781727908045,-484.0806850106198,4.744131141814123
48,4.800000000000001,0.25,0.5,-577.8380093841637,-494.68917407568875,4.677800238756281
49,4.9,0.25,0.5,-578.2062541412495,-505.2889996509401,4.745316465628897
50,5.0,0.25,0.5,-577.8632866653013,-515.9507545848891,4.81149122380837
51,5.1000000000000005,0.25,0.5,-576.8136731826411,-526.6359262896715,4.87645502410912
52,5.2,0.25,0.5,-575.0792613043219,-537.0698854019237,4.941512281293849
53,5.300000000000001,0.25,0.5,-572.6348317915455,-547.5308077838783,5.007413497350461
54,5.4,0.25,0.5,-569.5137653131451,-557.7498540251495,5.073967639366605
55,5.5,0.25,0.5,-565.7655966928181,-567.6453940915895,5.1399768716877
56,5.6000000000000005,0.25,0.5,-561.3125973750929,-577.2672814879531,5.207361653875925
57,5.7,0.25,0.5,-556.2524892500736,-586.6266752880607,5.272749879700203
58,5.800000000000001,0.25,0.5,-550.6278093404176,-595.6660219374737,5.338935144749442
59,5.9,0.25,0.5,-544.3642707426485,-604.3508053044686,5.405426706928671
60,6.0,0.25,0.5,-537.5825921232681,-612.6257280974188,5.4710875735113556
61,6.1000000000000005,0.25,0.5,-530.0991866921652,-620.4135230446242,5.538237902019869
62,6.2,0.25,0.5,-522.2297821692212,-627.6573850511046,5.604778426345114
63,6.300000000000001,0.25,0.5,-514.0241722618168,-634.3448078667298,5.670267532818185
64,6.4,0.25,0.5,-505.363696464233,-640.4255392084618,5.736426020387584
65,6.5,0.25,0.5,-496.40381346581694,-646.0611985302098,5.802407304237302
66,6.6000000000000005,0.25,0.5,-487.0744745848445,-651.0508440865161,5.868105184920932
