i,time,PWM_l,PWM_r,x,y,theta
1,0.0,0.0,0.0,402.89777747886706,299.999999999999,-14.999999999999996
2,0.008,462.0627380087284,462.0627380087284,402.89777747886706,299.999999999999,-14.999999999999996
3,0.016,924.1254760174568,924.1254760174568,402.90506335709915,300.027191267739,-14.999999999999996
4,0.024,1386.1882140261853,1386.1882140261853,402.91963511356334,300.08157380321893,-14.999999999999996
5,0.032,1848.2509520349136,1848.2509520349136,402.94149274825963,300.1631476064389,-14.999999999999996
6,0.04,2310.313690043642,2310.313690043642,402.970636261188,300.27191267739886,-14.999999999999996
7,0.048,2772.3764280523706,2772.3764280523706,403.0070656523485,300.40786901609874,-14.999999999999996
8,0.056,3234.439166061099,3234.439166061099,403.0507809217412,300.57101662253865,-14.999999999999996
9,0.064,3696.501904069827,3696.501904069827,403.101782069366,300.7613554967186,-14.999999999999996
10,0.07200000000000001,4158.564642078555,4158.564642078555,403.16006909522287,300.9788856386384,-14.999999999999996
11,0.08,4620.627380087284,4620.627380087284,403.22564199931185,301.2236070482983,-14.999999999999996
12,0.088,5082.690118096012,5082.690118096012,403.2985007816329,301.49551972569816,-14.999999999999996
13,0.096,5544.752856104741,5544.752856104741,403.3786454421861,301.79462367083795,-14.999999999999996
14,0.10400000000000001,6006.815594113469,6006.815594113469,403.46607598097137,302.12091888371776,-14.999999999999996
15,0.112,6468.878332122198,6468.878332122198,403.56079239798873,302.4744053643376,-14.999999999999996
16,0.12,6930.941070130926,6930.941070130926,403.6627946932382,302.85508311269734,-14.999999999999996
17,0.128,7393.003808139654,7393.003808139654,403.77208286671976,303.2629521287971,-14.999999999999996
18,0.136,7855.066546148383,7855.066546148383,403.8886569184335,303.6980124126369,-14.999999999999996
19,0.14400000000000002,8317.12928415711,8317.12928415711,404.0125168483794,304.1602639642166,-14.999999999999996
20,0.152,8779.19202216584,8779.19202216584,404.14366265655735,304.6497067835363,-14.999999999999996
21,0.16,9241.254760174568,9241.254760174568,404.2820943429674,305.16634087059606,-14.999999999999996
22,0.168,9703.317498183296,9703.317498183296,404.42781190760957,305.7101662253958,-14.999999999999996
23,0.176,10165.380236192024,10165.380236192024,404.5808153504838,306.2811828479355,-14.999999999999996
24,0.184,10627.442974200752,10627.442974200752,404.74110467159016,306.8793907382152,-14.999999999999996
25,0.192,11089.505712209482,11089.505712209482,404.9086798709286,307.5047898962349,-14.999999999999996
26,0.2,11551.56845021821,11551.56845021821,405.08354094849915,308.15738032199454,-14.999999999999996
27,0.20800000000000002,12013.631188226938,12013.631188226938,405.2656879043018,308.8371620154942,-14.999999999999996
28,0.216,12475.693926235668,12475.693926235668,405.45512073833663,309.54413497673386,-14.999999999999996
29,0.224,12937.756664244396,12937.756664244396,405.6518394506036,310.27829920571344,-14.999999999999996
30,0.232,13399.819402253124,13399.819402253124,405.8558440411026,311.03965470243304,-14.999999999999996
31,0.24,13861.882140261852,13861.882140261852,406.06713450983375,311.82820146689266,-14.999999999999996
32,0.248,14323.94487827058,14323.94487827058,406.285710856797,312.6439394990922,-14.999999999999996
33,0.256,14786.007616279308,14786.007616279308,406.5115730819923,313.48686879903175,-14.999999999999996
34,0.264,15248.070354288036,15248.070354288036,406.74472118541973,314.35698936671133,-14.999999999999996
35,0.272,15710.133092296766,15710.133092296766,406.98515516707926,315.2543012021308,-14.999999999999996
36,0.28,16172.195830305494,16172.195830305494,407.2328750269709,316.1788043052903,-14.999999999999996
37,0.28800000000000003,16634.25856831422,16634.25856831422,407.4878807650946,317.13049867618986,-14.999999999999996
38,0.296,17096.321306322952,17096.321306322952,407.7501723814505,318.1093843148293,-14.999999999999996
39,0.304,17558.38404433168,17558.38404433168,408.01974987603853,319.11546122120876,-14.999999999999996
40,0.312,18020.44678234041,18020.44678234041,408.29661324885865,320.14872939532825,-14.999999999999996
41,0.32,18482.509520349136,18482.509520349136,408.58076249991086,321.20918883718764,-14.999999999999996
42,0.328,18944.572258357864,18944.572258357864,408.87219762919517,322.29683954678706,-14.999999999999996
43,0.336,19406.634996366593,19406.634996366593,409.1709186367116,323.4116815241265,-14.999999999999996
44,0.34400000000000003,19868.69773437532,19868.69773437532,409.4769255224601,324.55371476920584,-14.999999999999996
45,0.352,20330.76047238405,20330.76047238405,409.7902182864407,325.7229392820252,-14.999999999999996
46,0.36,20792.823210392777,20792.823210392777,410.1107969286534,326.9193550625846,-14.999999999999996
47,0.368,21254.885948401505,21254.885948401505,410.43866144909816,328.1429621108839,-14.999999999999996
48,0.376,21716.948686410233,21716.948686410233,410.77381184777516,329.3937604269232,-14.999999999999996
49,0.384,22179.011424418964,22179.011424418964,411.11624812468426,330.67175001070257,-14.999999999999996
50,0.392,22641.074162427692,22641.074162427692,411.46597027982546,331.9769308622218,-14.999999999999996
51,0.4,23103.13690043642,23103.13690043642,411.82297831319875,333.3093029814811,-14.999999999999996
52,0.40800000000000003,23565.19963844515,23565.19963844515,412.18727222480413,334.6688663684804,-14.999999999999996
53,0.41600000000000004,24027.262376453877,24027.262376453877,412.5588520146416,336.0556210232196,-14.999999999999996
54,0.424,24489.32511446261,24489.32511446261,412.9377176827112,337.46956694569883,-14.999999999999996
