i,time,PWM_l,PWM_r,x,y,theta
1,0.0,0.0,0.0,1500.0,2000.0,-14.999999999999996
2,0.02727272727,1432.3944878270581,859.4366926962348,1500.0,2000.0,-14.999999999999996
3,0.05454545454,2864.7889756541163,1718.8733853924696,1500.6184518383816,2002.3080936828765,-15.129159519712642
4,0.08181818181,4297.183463481174,2578.3100780887044,1501.8657584449156,2006.9214810208987,-15.387478559137925
5,0.10909090908,5729.5779513082325,3437.746770784939,1503.7678985419116,2013.8330564693324,-15.774957118275854
6,0.13636363635,7161.97243913529,4297.183463481174,1506.3663487879367,2023.0311281326894,-16.291595197126416
7,0.16363636362,8594.366926962348,5156.620156177409,1509.7179523200539,2034.4989627973855,-16.937392795689625
8,0.19090909089000002,10026.761414789407,6016.0568488736435,1513.8947266090054,2048.214158933464,-17.712349913965472
9,0.21818181816,11459.155902616465,6875.493541569878,1518.983600846992,2064.1478507885004,-18.616466551953962
10,0.24545454543,12891.550390443523,7734.930234266114,1525.086070458492,2082.2637479140076,-19.64974270965509
11,0.2727272727,14323.94487827058,8594.366926962348,1532.3177537877364,2102.51701593123,-20.81217838706886
12,0.29999999997000004,15756.339366097638,9453.803619658584,1540.807833605022,2124.853006109177,-22.103773584195284
13,0.32727272724,17188.733853924696,10313.240312354817,1550.6983638283327,2149.2058434401115,-23.52452830103434
14,0.35454545451,18621.128341751755,11172.677005051053,1562.1434198254374,2175.496885398751,-25.07444253758604
15,0.38181818178000004,20053.522829578815,12032.113697747287,1575.3080689030212,2203.6330664979196,-26.753516293850378
16,0.40909090905,21485.91731740587,12891.550390443523,1590.367136171726,2233.505147134556,-28.561749569827363
17,0.43636363632,22918.31180523293,13750.987083139757,1607.5037399784287,2264.9858890758096,-30.49914236551698
18,0.46363636359000004,24350.706293059986,14610.423775835992,1626.9075706096573,2297.928184273923,-32.56569468091924
19,0.49090909086,25783.100780887045,15469.860468532228,1648.7728860938405,2332.163168515166,-34.76140651603415
20,0.5181818181300001,24350.706293059986,15469.860468532228,1673.2961997762704,2367.498356679951,-37.0862778708617
21,0.5454545454,22918.31180523293,15469.860468532228,1698.332144771306,2400.6182939830933,-39.08825042640764
22,0.57272727267,21485.91731740587,15469.860468532228,1723.568174245609,2431.684235498249,-40.76732418267198
23,0.5999999999400001,20053.522829578815,15469.860468532228,1748.7284327359066,2460.866305003111,-42.12349913965472
24,0.62727272721,18621.128341751755,15469.860468532228,1773.5706096525137,2488.337029072656,-43.15677529735585
25,0.65454545448,17188.733853924696,15469.860468532228,1797.882616250301,2514.2658582395834,-43.86715265577538
26,0.6818181817500001,15756.339366097638,15469.860468532228,1821.4792811734624,2538.814573646745,-44.254631214913296
27,0.70909090902,14323.94487827058,15469.860468532228,1844.199223523411,2562.1334755302732,-44.31921097476962
28,0.73636363629,12891.550390443523,15469.860468532228,1865.9020306670673,2584.3582552652088,-44.06089193534434
29,0.7636363635600001,11459.155902616465,15469.860468532228,1886.4658405082582,2605.607463925313,-43.47967409663745
30,0.79090909083,10026.761414789407,15469.860468532228,1905.7854041629716,2625.980505933875,-42.57555745864896
31,0.8181818181,8594.366926962348,15469.860468532228,1923.770684136357,2645.556105192585,-41.34854202137886
32,0.8454545453700001,7161.97243913529,15469.860468532228,1940.3460242509318,2664.391212005503,-39.79862778482717
33,0.87272727264,5729.5779513082325,15469.860468532228,1955.4499096715645,2682.5203411963685,-37.925814748993865
34,0.89999999991,4297.183463481174,15469.860468532228,1969.0353173198337,2699.955354114103,-35.73010291387896
35,0.9272727271800001,2864.7889756541163,15469.860468532228,1981.0706376903554,2716.6857187641726,-33.21149227948245
36,0.95454545445,1432.3944878270581,15469.860468532228,1991.5411275760425,2732.679302026687,-30.369982845804333
37,0.98181818172,0.0,15469.860468532228,2000.4508286300052,2747.8837646073825,-27.20557461284461
38,1.00909090899,0.0,14354.100551698519,2007.824858424542,2762.2286416018787,-23.71826758060329
39,1.0363636362600002,0.0,13238.340634864811,2013.844739932225,2775.930443332333,-20.482481718328692
40,1.0636363635300001,0.0,12122.580718031102,2018.6745556330043,2788.860422691969,-17.49821702602082
41,1.0909090908,0.0,11006.820801197393,2022.4748833897402,2800.9148304372693,-14.765473503679672
42,1.11818181807,0.0,9891.060884363686,2025.3996814937118,2812.011818933778,-12.284251151305247
43,1.14545454534,0.0,8775.300967529976,2027.5938177769349,2822.088342808159,-10.054549968897547
44,1.17272727261,0.0,7659.541050696268,2029.1911591751032,2831.0971522159152,-8.076369956456569
45,1.1999999998800002,0.0,6543.781133862561,2030.3131367945552,2839.0039531533293,-6.349711113982303
46,1.2272727271500001,0.0,5428.021217028853,2031.0677037435726,2845.7847909484954,-4.8745734414747615
47,1.25454545442,0.0,4312.261300195144,2031.5486078781287,2851.4236978131557,-3.650956938933943
48,1.28181818169,0.0,3196.5013833614344,2031.8349084640695,2855.9106330263157,-2.6788616063598485
49,1.30909090896,0.0,2080.741466527727,2031.990673984842,2859.239734743054,-1.958287443752478
50,1.33636363623,0.0,964.9815496940195,2032.064807467168,2861.4078952900372,-1.4892344511118314
51,1.3636363635000002,0.0,-150.77836713969134,2032.0909554132404,2862.413666783,-1.2717026284379087
52,1.3909090907700001,0.0,-1266.5382839733988,2032.0874664744997,2862.2565006082523,-1.30569197573071
53,1.41818181804,0.0,-2382.2982008071062,2032.0573762197419,2860.9363223584005,-1.591202492990235
54,1.44545454531,0.0,-3498.058117640814,2031.9884046447023,2858.45344280033,-2.128234180216484
55,1.47272727258,0.0,-4613.8180344745215,2031.85296339261,2854.808804975236,-2.916787037409457
56,1.49999999985,0.0,-5729.5779513082325,2031.608179982445,2850.00456717831,-3.9568610645691535
57,1.5272727271200002,-318.3098861837907,-6047.887837492023,2031.195956657276,2844.045020931865,-5.2484562616955746
58,1.5545454543900001,-636.6197723675814,-6366.197723675814,2030.5887890875983,2837.435309498089,-6.540051458821995
59,1.58181818166,-954.9296585513719,-6684.507609859604,2029.7571883261235,2830.1815287745612,-7.831646655948416
60,1.60909090893,-1273.2395447351628,-7002.817496043395,2028.6718487395283,2822.29077290055,-9.123241853074836
61,1.6363636362,-1591.5494309189535,-7321.127382227185,2027.3036780063085,2813.771128920307,-10.414837050201257
62,1.66363636347,-1909.8593171027437,-7639.437268410975,2025.6238269633714,2804.6316706017496,-11.706432247327678
63,1.6909090907400002,-2228.1692032865344,-7957.7471545947665,2023.6037192785316,2794.8824514147354,-12.998027444454099
64,1.7181818180100001,-2546.4790894703256,-8276.057040778558,2021.2150809262148,2784.534496673714,-14.28962264158052
65,1.74545454528,-2864.7889756541163,-8594.366926962348,2018.4299694437877,2773.5997948501463,-15.581217838706939
66,1.77272727255,-3183.098861837907,-8912.676813146138,2015.2208029460799,2762.0912880606757,-16.87281303583336
67,1.79999999982,-3501.408748021697,-9230.98669932993,2011.5603888758287,2750.0228617376233,-18.16440823295978
68,1.8272727270900002,-3819.7186342054874,-9549.296585513719,2007.421952467953,2737.4093334889603,-19.456003430086202
69,1.8545454543600002,-4138.028520389278,-9867.60647169751,2002.779164905738,2724.2664411554924,-20.74759862721262
70,1.8818181816300001,-4456.338406573069,-10185.916357881302,1997.606171147243,2710.610830073574,-22.039193824339044
71,1.9090909089,-4774.6482927568595,-10504.226244065092,1991.8776174004452,2696.4600395522266,-23.330789021465463
72,1.93636363617,-5092.958178940651,-10822.536130248884,1985.5686782258672,2681.832488574112,-24.622384218591883
73,1.96363636344,-5411.268065124442,-11140.846016432675,1978.6550832457024,2666.7474607303566,-25.913979415718305
74,1.9909090907100002,-5729.5779513082325,-11459.155902616465,1971.1131434386944,2651.2250883997876,-27.205574612844725
75,2.01818181798,-3978.8735772973832,-10185.916357881302,1962.9197770003193,2635.2863361836808,-28.497169809971147
76,2.04545454525,-2228.1692032865344,-8912.676813146138,1955.8734862820402,2622.3071542259413,-29.89639794019143
77,2.0727272725200003,-477.46482927568576,-7639.437268410977,1950.0838377722494,2612.2371819407044,-31.403259003505575
78,2.09999999979,1273.239544735163,-6366.197723675814,1945.6741934864867,2605.013948827048,-33.01775299991359
79,2.1272727270600003,3023.943918746011,-5092.958178940651,1942.780763038013,2600.561477562127,-34.73987992941548
80,2.15454545433,4774.64829275686,-3819.7186342054893,1941.5514788162745,2598.7888032135033,-36.56963979201124
81,2.1818181816,6525.352666767711,-2546.479089470326,1942.1446751615977,2599.588427621612,-38.50703258770086
82,2.20909090887,8276.057040778558,-1273.239544735163,1944.727552277035,2602.834731226304,-40.552058316484356
83,2.23636363614,10026.761414789407,0.0,1949.4744059201576,2608.382368119819,-42.704716978361716
84,2.2636363634100003,11777.465788800255,1273.239544735163,1956.5646047374112,2616.0646738806327,-44.96500857333294
85,2.29090909068,13528.170162811106,2546.4790894703247,1966.1802985140293,2625.6921197443853,-47.332933101398034
86,2.3181818179500002,15278.874536821953,3819.718634205486,1978.5038426887531,2637.0508508516996,-49.808490562557
87,2.34545454522,17029.578910832803,5092.958178940649,1993.714927301441,2649.9013506149313,-52.39168095680983
88,2.37272727249,18780.283284843652,6366.197723675812,2011.9874021789574,2663.977277586513,-55.08250428415652
89,2.3999999997600003,20530.9876588545,7639.437268410975,2033.485794693377,2678.9845254917564,-57.88096054459708
90,2.42727272703,22281.69203286535,8912.676813146138,2058.361521913461,2694.6005611902046,-60.78704973813152
91,2.4545454543000003,24032.396406876196,10185.916357881302,2086.7488054731684,2710.474099112447,-63.800771864759824
92,2.48181818157,25783.100780887045,11459.155902616465,2118.7603050440985,2726.2251740226984,-66.922126924482
93,2.50909090884,25783.100780887045,11459.155902616465,2154.4824949491504,2741.4456765988434,-70.15111491729805
94,2.53636363611,25783.100780887045,11459.155902616465,2191.0052919450154,2754.629903913399,-73.38010291011408
95,2.56363636338,25783.100780887045,11459.155902616465,2228.212728429786,2765.7359932573045,-76.60909090293012
96,2.5909090906500003,25783.100780887045,11459.155902616465,2265.9866629264334,2774.728680448906,-79.83807889574616
97,2.61818181792,25783.100780887045,11459.155902616465,2304.2071552069774,2781.5794118051863,-83.06706688856218
98,2.6454545451900002,25783.100780887045,11459.155902616465,2342.752847128063,2786.266434805746,-86.29605488137823
99,2.67272727246,25783.100780887045,11459.155902616465,2381.501347968726,2788.7748671616537,-89.52504287419426
100,2.69999999973,25783.100780887045,11459.155902616465,2420.329623046805,2789.0967440698614,267.2459691329897
101,2.7272727270000003,25783.100780887045,11459.155902616465,2459.11438438007,2787.231043503135,264.0169811401737
102,2.75454545427,25783.100780887045,11459.155902616465,2497.7324821516304,2783.1836894552107,260.7879931473576
103,2.7818181815400003,25783.100780887045,11459.155902616465,2536.0612957366375,2776.96753313086,257.5590051545416
104,2.80909090881,25783.100780887045,11459.155902616465,2573.9791230486962,2768.602312140597,254.33001716172555
105,2.83636363608,25783.100780887045,11459.155902616465,2611.3655669697146,2758.114587829594,251.10102916890952
106,2.8636363633500004,25783.100780887045,11459.155902616465,2648.1019176362097,2745.5376609397954,247.8720411760935
107,2.89090909062,25783.100780887045,11459.155902616465,2684.0715293682206,2730.9114658730196,244.64305318327743
108,2.9181818178900003,25783.100780887045,11459.155902616465,2719.160191044004,2714.282443890792,241.4140651904614
109,2.94545454516,25783.100780887045,11459.155902616465,2753.2564887444905,2695.7033956535215,238.18507719764537
110,2.9727272724300002,25783.100780887045,11459.155902616465,2786.2521595160315,2675.2333135672407,234.9560892048293
111,2.9999999997,25783.100780887045,11459.155902616465,2818.042435128167,2652.9371944702434,231.72710121201328
