i,time,PWM_l,PWM_r,x,y,theta
1,0.0,0.0,0.0,401.190069694331,301.35415439394205,-14.999999999999996
2,0.008,415.85646420785554,249.51387852471333,401.190069694331,301.35415439394205,-14.999999999999996
3,0.016,831.7129284157111,499.02775704942667,401.1953155266581,301.3737321067149,-15.006451612903225
4,0.024,1247.5693926235667,748.54163557414,401.2058116002206,301.41288635063097,-15.019354838709672
5,0.032,1663.4258568314222,998.0555140988533,401.22156893669035,301.47161416938275,-15.038709677419348
6,0.04,2079.2823210392776,1247.5693926235667,401.24260516890365,301.5499108260276,-15.064516129032253
7,0.048,2495.1387852471335,1497.08327114828,401.268944538258,301.6477697933094,-15.096774193548388
8,0.056,2910.995249454989,1746.5971496729933,401.30061789109664,301.7651827402608,-15.13548387096774
9,0.064,3326.8517136628443,1996.1110281977067,401.33766267407054,301.90213951508815,-15.18064516129032
10,0.07200000000000001,3742.7081778706997,2245.62490672242,401.38012292846406,302.05862812434384,-15.232258064516131
11,0.08,4158.564642078555,2495.1387852471335,401.4280492834689,302.2346347083901,-15.290322580645158
12,0.088,4574.4211062864115,2744.6526637718466,401.48149894838616,302.43014351315867,-15.354838709677415
13,0.096,4990.277570494267,2994.16654229656,401.5405357037348,302.6451368582145,-15.425806451612901
14,0.10400000000000001,5406.134034702121,3243.6804208212734,401.6052298912414,302.8795951011284,-15.503225806451617
15,0.112,5821.990498909978,3493.1942993459866,401.67565840268287,303.1334965981681,-15.58709677419355
16,0.12,6237.846963117834,3742.7081778706997,401.75190466755214,303.4068176613159,-15.677419354838712
17,0.128,6653.703427325689,3992.2220563954133,401.8340586395117,303.69953251162303,-15.774193548387105
18,0.136,7069.559891533544,4241.735934920127,401.9222167816001,304.01161322891164,-15.877419354838713
19,0.14400000000000002,7485.4163557413995,4491.24981344484,402.0164820501502,304.34302969783585,-15.987096774193551
20,0.152,7901.272819949256,4740.763691969553,402.116963877378,304.69374955031583,-16.10322580645162
21,0.16,8317.12928415711,4990.277570494267,402.22377815259654,305.0637381043581,-16.225806451612904
22,0.168,8732.985748364967,5239.79144901898,402.3370472020067,305.45295829927727,-16.354838709677416
23,0.176,9148.842212572823,5489.305327543693,402.45689976701453,305.8613706273371,-16.49032258064516
24,0.184,9564.698676780677,5738.819206068407,402.5834709810207,306.2889330618266,-16.632258064516133
25,0.192,9980.555140988534,5988.33308459312,402.7169023446271,306.7356009815919,-16.780645161290323
26,0.2,10396.411605196388,6237.846963117833,402.8573416991999,307.2013270920439,-16.93548387096774
27,0.20800000000000002,10812.268069404243,6487.360841642547,403.00494319872826,307.68606134266304,-17.09677419354839
28,0.216,11228.124533612101,6736.87472016726,403.1598672799141,308.189750841025,-17.264516129032256
29,0.224,11643.980997819956,6986.388598691973,403.32228063042544,308.7123397633728,-17.43870967741935
30,0.232,12059.83746202781,7235.902477216687,403.49235615524276,309.25376926176114,-17.619354838709675
31,0.24,12475.693926235668,7485.4163557413995,403.6702729410281,309.8139773678014,-17.806451612903228
32,0.248,12891.550390443523,7734.930234266114,403.85621621843893,310.3928988930377,-18.0
33,0.256,13307.406854651377,7984.444112790827,404.05037732231153,310.99046532598595,-18.2
34,0.264,13723.263318859234,8233.95799131554,404.25295364963176,311.6066047258694,-18.40645161290323
35,0.272,14139.119783067088,8483.471869840254,404.4641486152128,312.2412416130866,-18.619354838709675
36,0.28,14554.976247274944,8732.985748364967,404.68417160499246,312.89429685645007,-18.838709677419352
