#i,time,PWM_l,PWM_r,x,y,theta
1,0.00,0.0,0.0,2000.0,1500.0,-14.999999999999996
2,0.01,0.0,-350.7904868147897,2000.0,1500.0,-14.999999999999996
3,0.02,0.0,-701.5809736295794,1999.9652909682509,1499.87046413003,-15.028994994224101
4,0.03,0.0,-1052.3714604443692,1999.89574180829,1499.6114275528362,-15.086984982672314
5,0.04,0.0,-1403.1619472591588,1999.7910248591625,1499.222978473792,-15.173969965344634
6,0.05,0.0,-1753.9524340739486,1999.650616110297,1498.705258936643,-15.289949942241046
7,0.06,0.0,-2104.7429208887384,1999.4737955538212,1498.0584661157518,-15.434924913361566
8,0.07,0.0,-2455.533407703528,1999.2596476788503,1497.2828541035778,-15.608894878706192
9,0.08,0.0,-2806.3238945183175,1999.0070621140167,1496.3787361916657,-15.811859838274923
10,0.09,0.0,-3157.1143813331073,1998.7147344262648,1495.3464876428243,-16.04381979206776
11,0.10,0.0,-3507.904868147897,1998.3811670856721,1494.1865489516422,-16.304774740084707
12,0.11,0.0,-3858.6953549626865,1998.0046706077574,1492.8994295898447,-16.594724682325758
13,0.12,0.0,-4209.485841777477,1997.5833648864655,1491.4857122323174,-16.913669618790916
14,0.13,0.0,-4560.2763285922665,1997.115180732687,1489.9460574589084,-17.261609549480166
15,0.14,0.0,-4911.066815407056,1996.5978616348339,1488.281208926317,-17.638544474393523
16,0.15,0.0,-5261.857302221846,1996.0289657596295,1486.4919990034778,-18.04447439353099
17,0.16,0.0,-5612.647789036635,1995.4058682128743,1484.5793548629317,-18.47939930689256
18,0.17,0.0,-5963.438275851425,1994.7257635815095,1482.544305019599,-18.943319214478237
19,0.18,0.0,-6314.228762666215,1993.9856687798283,1480.387986307238,-19.43623411628802
20,0.19,0.0,-6665.019249481004,1993.182426224168,1478.1116512816297,-19.95814401232191
21,0.20,0.0,-7015.809736295794,1992.3127073618216,1475.7166760381679,-20.509048902579906
22,0.21,0.0,-7366.600223110583,1991.3730165812913,1473.2045684300901,-21.088948787061994
23,0.22,0.0,-7717.390709925373,1990.359695532281,1470.5769766719477,-21.69784366576819
24,0.23,0.0,-8068.181196740163,1989.268927885054,1467.8356983112499,-22.33573353869849
25,0.24,0.0,-8418.971683554953,1988.0967445599053,1464.9826895493388,-23.002618405852903
26,0.25,0.0,-8769.762170369742,1986.8390294585397,1462.0200748905772,-23.698498267231418
27,0.26,0.0,-9120.552657184533,1985.4915257300663,1458.9501570968132,-24.42337312283404
28,0.27,0.0,-9471.343143999322,1984.0498426051417,1455.7754274218314,-25.177242972660768
29,0.28,0.0,-9822.133630814113,1982.5094628324687,1452.4985760980726,-25.960107816711588
30,0.29,0.0,-10172.924117628902,1980.8657507524094,1449.1225030453788,-26.771967654986515
31,0.30,0.0,-10523.714604443692,1979.1139610428481,1445.6503287688083,-27.612822487485552
32,0.31,0.0,-10874.505091258481,1977.2492481726522,1442.0854054097053,-28.482672314208692
33,0.32,0.0,-11225.29557807327,1975.266676598133,1438.4313279112685,-29.38151713515594
34,0.33,0.0,-11576.08606488806,1973.1612317377185,1434.6919452566653,-30.30935695032729
35,0.34,0.0,-11926.87655170285,1970.9278317596772,1430.8713717345363,-31.26619175972275
36,0.35,0.0,-12277.66703851764,1968.5613402171257,1426.9739981832809,-32.25202156334232
37,0.36,0.0,-12628.45752533243,1966.0565795636658,1423.0045031620011,-33.26684636118598
38,0.37,0.0,-12979.24801214722,1963.4083455818882,1418.9678639923568,-34.310666153253756
39,0.38,0.0,-13330.038498962009,1960.6114227555381,1414.8693676117746,-35.38348093954563
40,0.39,0.0,-13680.8289857768,1957.6606006144248,1410.714621174653,-36.48529072006161
41,0.40,0.0,-14031.619472591588,1954.5506910791046,1406.5095623342313,-37.6160954948017
42,0.41,0.0,-14382.40995940638,1951.2765468299704,1402.2604691337747,-38.77589526376589
43,0.42,0.0,-14733.200446221166,1947.8330807226175,1397.9739694317068,-39.96469002695418
44,0.43,0.0,-15083.990933035959,1944.215286268235,1393.6570497811736,-41.18247978436658
45,0.44,0.0,-15434.781419850746,1940.4182591942017,1389.3170636804625,-42.42926453600308
46,0.45,0.0,-15785.571906665538,1936.4372200961288,1384.9617391065767,-43.70504428186369
47,0.46,0.0,-16136.362393480325,1932.2675381881754,1380.5991852402367,-45.0098190219484
48,0.47,0.0,-16487.152880295118,1927.904756153618,1376.2378982865812,-46.343588756257226
49,0.48,0.0,-16837.943367109907,1923.344616092314,1371.8867662919838,-47.70635348479015
50,0.49,0.0,-17188.733853924696,1918.5830865558992,1367.5550728536273,-49.09811320754718
51,0.50,0.0,-16844.9591768462,1913.616390655231,1363.2524996149423,-50.51886792452831
52,0.51,0.0,-16501.18449976771,1908.6459792930973,1359.1579569748865,-51.91120754716982
53,0.52,0.0,-16157.409822689215,1903.6809815877477,1355.2664695490112,-53.27513207547171
54,0.53,0.0,-15813.63514561072,1898.7301004791852,1351.572852748057,-54.61064150943397
55,0.54,0.0,-15469.860468532228,1893.8016183069194,1348.0717402551054,-55.91773584905661
56,0.55,0.0,-15126.085791453734,1888.9034034798378,1344.7576103135725,-57.19641509433963
57,0.56,0.0,-14782.31111437524,1884.0429181318532,1341.624810821375,-58.44667924528303
58,0.57,0.0,-14438.536437296745,1879.2272266610707,1338.6675832324145,-59.66852830188681
59,0.58,0.0,-14094.76176021825,1874.4630050544502,1335.8800852719141,-60.86196226415095
60,0.59,0.0,-13750.987083139757,1869.7565509042633,1333.256412476996,-62.02698113207548
61,0.60,0.0,-13407.212406061264,1865.1137940270064,1330.7906185783067,-63.163584905660386
62,0.61,0.0,-13063.43772898277,1860.540307599841,1328.476734742433,-64.27177358490567
63,0.62,0.0,-12719.663051904276,1856.0413197340413,1326.308787698399,-65.35154716981133
64,0.63,0.0,-12375.888374825781,1851.621725409289,1324.2808167746298,-66.40290566037737
65,0.64,0.0,-12032.113697747287,1847.2860986970145,1322.3868898755027,-67.42584905660378
66,0.65,0.0,-11688.339020668795,1843.0387052052256,1320.6211184289532,-68.42037735849058
67,0.66,0.0,-11344.5643435903,1838.8835146814727,1318.9776713386327,-69.38649056603774
68,0.67,0.0,-11000.789666511806,1834.8242137146717,1317.450787975753,-70.3241886792453
69,0.68,0.0,-10657.014989433312,1830.8642184804803,1316.0347902471713,-71.23347169811322
70,0.69,0.0,-10313.240312354817,1827.00668747879,1314.7240937772985,-72.11433962264151
71,0.70,0.0,-9969.465635276325,1823.2545342155945,1313.513218242275,-72.9667924528302
72,0.71,0.0,-9625.69095819783,1819.6104397850877,1312.3967968953893,-73.79083018867927
73,0.72,0.0,-9281.916281119336,1816.0768653112727,1311.3695853230474,-74.58645283018869
74,0.73,0.0,-8938.141604040842,1812.6560642116347,1310.4264694707308,-75.35366037735851
75,0.74,0.0,-8594.366926962348,1809.350094248558,1309.562472978283,-76.09245283018869
76,0.75,0.0,-8250.592249883855,1806.1608293371373,1308.7727638636297,-76.80283018867925
