i,time,PWM_l,PWM_r,x,y,theta
1,0.0,22918.31180523293,22918.31180523293,1500.0,2000.0,-14.999999999999996
2,0.02403846153,23204.790702798342,23204.790702798342,1510.9021958661688,2040.6875488866062,-14.999999999999996
3,0.04807692306,23491.269600363754,23491.269600363754,1521.9406691806635,2081.8836921342954,-14.999999999999996
4,0.07211538459,23777.748497929166,23777.748497929166,1533.115419943486,2123.5884297430666,-14.999999999999996
5,0.09615384612,24064.227395494574,24064.227395494574,1544.426448154636,2165.801761712921,-14.999999999999996
6,0.12019230765,24350.706293059986,24350.706293059986,1555.8737538141122,2208.523688043858,-14.999999999999996
7,0.14423076918,24637.185190625398,24637.185190625398,1567.457336921916,2251.754208735877,-14.999999999999996
8,0.16826923071,24923.66408819081,24923.66408819081,1579.1771974780459,2295.493323788979,-14.999999999999996
9,0.19230769224,25210.14298575622,25210.14298575622,1591.0333354825034,2339.741033203163,-14.999999999999996
10,0.21634615377,25496.621883321634,25496.621883321634,1603.0257509352887,2384.49733697843,-14.999999999999996
11,0.2403846153,25783.100780887045,25783.100780887045,1615.1544438363999,2429.76223511478,-14.999999999999996
12,0.26442307683,26069.579678452457,26069.579678452457,1627.4194141858388,2475.535727612212,-14.999999999999996
13,0.28846153836,26356.05857601787,26356.05857601787,1639.8206619836055,2521.817814470727,-14.999999999999996
14,0.31249999989,26642.53747358328,26642.53747358328,1652.3581872296982,2568.608495690324,-14.999999999999996
15,0.33653846142,26929.016371148693,26929.016371148693,1665.0319899241185,2615.907771271004,-14.999999999999996
16,0.36057692295,27215.495268714105,27215.495268714105,1677.8420700668667,2663.715641212767,-14.999999999999996
17,0.38461538448,27501.974166279513,27501.974166279513,1690.7884276579407,2712.032105515612,-14.999999999999996
18,0.40865384601,27788.453063844925,27788.453063844925,1703.8710626973425,2760.8571641795397,-14.999999999999996
19,0.43269230754,28074.931961410337,28074.931961410337,1717.089975185072,2810.1908172045496,-14.999999999999996
20,0.45673076907,28361.41085897575,28361.41085897575,1730.4451651211275,2860.0330645906424,-14.999999999999996
21,0.4807692306,28647.88975654116,28647.88975654116,1743.9366325055107,2910.383906337818,-14.999999999999996
22,0.50480769213,27556.541575339594,28102.215665940377,1757.5643773382199,2961.243342446076,-14.999999999999996
23,0.52884615366,26465.193394138027,27556.541575339594,1770.8027580328526,3010.649651808384,-14.891578547277085
24,0.55288461519,25373.84521293646,27010.86748473881,1783.561009287654,3058.6270628934735,-14.674735641831264
25,0.57692307672,24282.49703173489,26465.193394138027,1795.7564846046625,3105.197101718157,-14.349471283662533
26,0.60096153825,23191.148850533322,25919.519303537243,1807.314549003544,3150.3781688820372,-13.91578547277089
27,0.62499999978,22099.800669331755,25373.84521293646,1818.1685006010312,3194.1851926265745,-13.373678209156338
28,0.64903846131,21008.452488130184,24828.171122335672,1828.259523610227,3236.629357416634,-12.723149492818875
29,0.67307692284,19917.104306928617,24282.49703173489,1837.5366743074983,3277.717907939187,-11.964199323758502
30,0.69711538437,18825.756125727046,23736.822941134105,1845.9569005052017,3317.454028817223,-11.096827701975219
31,0.7211538459,17734.40794452548,23191.148850533322,1853.4850940499446,3355.836800729905,-10.121034627469024
32,0.74519230743,16643.059763323912,22645.47475993254,1860.0941748325613,3392.8612339949022,-9.03682010023992
33,0.76923076896,15551.711582122345,22099.800669331755,1865.765203742605,3428.5183809877262,-7.844184120287904
34,0.79326923049,14460.363400920776,21554.12657873097,1870.4875209231104,3462.7955290274585,-6.543126687612966
35,0.81730769202,13369.015219719207,21008.452488130184,1874.2589045786362,3495.6764755296826,-5.133647802215117
36,0.84134615355,12277.66703851764,20462.7783975294,1877.085744461031,3527.1418872964223,-3.6157474640943574
37,0.86538461508,11186.318857316073,19917.104306928617,1878.9832230052843,3557.1697457598684,-1.9894256732506876
38,0.88942307661,10094.970676114504,19371.430216327833,1879.9754959175016,3585.7358798016585,-0.25468242968410726
39,0.91346153814,9003.622494912937,18825.756125727046,1880.0958628367962,3612.8145874124984,1.5884822666053835
40,0.93749999967,7912.2743137113675,18280.082035126263,1879.3869175148875,3638.3793469182237,3.540068415617785
41,0.9615384612,6820.9261325098,17734.40794452548,1877.9006657975724,3662.403617758727,5.600076017353096
42,0.98557692273,5729.5779513082325,17188.733853924696,1875.6985985714919,3684.86172984747,7.768505071811319
43,1.00961538426,5865.996473958428,16643.059763323912,1872.851705783135,3705.7298593450478,10.045355578992451
44,1.03365384579,6002.414996608624,16097.385672723129,1869.2436115341216,3726.098081153157,12.18667927026994
45,1.05769230732,6138.83351925882,15551.711582122345,1864.9563825392015,3745.9496439495397,14.192476145643797
46,1.08173076885,6275.252041909016,15006.037491521562,1860.069175034133,3765.2743704059985,16.06274620511401
47,1.10576923038,6411.670564559212,14460.363400920776,1854.6579403598453,3784.0678868075875,17.79748944868059
48,1.12980769191,6548.089087209408,13914.689310319993,1848.7952170690023,3802.3308811512306,19.396705876343525
49,1.15384615344,6684.507609859605,13369.015219719207,1842.5499986321665,3820.06839502783,20.860395488102828
50,1.17788461497,6820.9261325098005,12823.341129118424,1835.987666231501,3837.2891530859533,22.18855828395849
51,1.2019230765,6957.344655159996,12277.66703851764,1829.169976650639,3854.004932574826,23.381194263910505
52,1.22596153803,7093.763177810192,11731.992947916857,1822.1550958676826,3870.229974361285,24.43830342795889
53,1.24999999956,7230.181700460388,11186.318857316073,1814.9976696067688,3885.980435898724,25.35988577610364
54,1.27403846109,7366.600223110583,10640.64476671529,1807.7489227793103,3901.2738858831763,26.145941308344735
55,1.29807692262,7503.018745760781,10094.970676114504,1800.4567804303042,3916.1288397488624,26.796470024682197
56,1.32211538415,7639.437268410977,9549.296585513719,1793.1660034833476,3930.5643347183914,27.311471925116027
57,1.34615384568,7775.855791061173,9003.622494912936,1785.9183332390548,3944.5995428170545,27.690947009646226
58,1.37019230721,7912.274313711368,8457.948404312152,1778.7526392178024,3958.2534200720793,27.93489527827277
59,1.39423076874,8048.692836361564,7912.274313711368,1771.7050655439325,3971.54439003266,28.04331673099568
60,1.41826923027,8185.11135901176,7366.600223110585,1764.809171642497,3984.490059752048,28.016211367814957
61,1.4423076918,8321.529881661956,6820.9261325098,1758.0960635608535,3997.106966456571,27.85357918873058
62,1.46634615333,8457.948404312152,6275.252041909016,1751.5945127375799,4009.4103532766085,27.55542019374257
63,1.49038461486,8594.366926962348,5729.5779513082325,1745.3310595232888,4021.413972620354,27.121734382850928
64,1.51442307639,8730.785449612544,6002.414996608624,1739.3300992163458,4033.129916022368,26.552521756055654
65,1.53846153792,8867.20397226274,6275.252041909016,1733.27770467536,4045.2413256776217,26.010414492441104
66,1.56249999945,9003.622494912936,6548.089087209408,1727.1752406596552,4057.7474611034067,25.49541259200727
67,1.58653846098,9140.041017563131,6820.9261325098005,1721.0235460799431,4070.647414929076,25.007516054754163
68,1.61057692251,9276.459540213327,7093.763177810192,1714.8229313659704,4083.940123244246,24.546724880681786
69,1.63461538404,9412.878062863523,7366.600223110583,1708.5731764049797,4097.624374780565,24.113039069790144
70,1.65865384557,9549.296585513719,7639.437268410977,1702.2735290095698,4111.698818911506,23.70645862207922
71,1.6826923071,9685.715108163917,7912.274313711368,1695.922703877166,4126.1619724569955,23.326983537549037
72,1.70673076863,9822.133630814113,8185.11135901176,1689.5188820070289,4141.012225281817,22.97461381619957
73,1.73076923016,9958.552153464309,8457.948404312152,1683.059710544545,4156.247844678745,22.64934945803084
74,1.75480769169,10094.970676114504,8730.785449612544,1676.5423030263664,4171.866978529172,22.35119046304283
75,1.77884615322,10231.3891987647,9003.622494912936,1669.9632400039009,4187.867657235689,22.080136831235553
76,1.80288461475,10367.807721414898,9276.459540213327,1663.3185700265694,4204.247794422654,21.836188562609
77,1.82692307628,10504.226244065094,9549.29658551372,1656.6038109702567,4221.0051864022325,21.619345657163176
78,1.85096153781,10640.64476671529,9822.133630814113,1649.8139517003456,4238.137510404774,21.429608114898077
79,1.87499999934,10777.063289365486,10094.970676114504,1642.943454062799,4255.642321573673,21.26697593581371
80,1.89903846087,10913.481812015681,10367.807721414898,1635.9862552007417,4273.517048726128,21.131449119910066
81,1.9230769224,11049.900334665877,10640.64476671529,1628.9357701980734,4291.758988882378,21.023027667187158
82,1.94711538393,11186.318857316073,10913.481812015681,1621.7848950556745,4310.36530056719,20.941711577644966
83,1.97115384546,11322.73737996627,11186.318857316073,1614.5260100098003,4329.3329958885615,20.887500851283512
84,1.99519230699,11459.155902616465,11459.155902616465,1607.1509832063148,4348.658931399733,20.860395488102792
85,2.01923076852,12550.504083818032,11322.73737996627,1599.651174748411,4368.339797751873,20.860395488102792
86,2.04326923005,13641.852265019601,11186.318857316073,1591.8388742714287,4388.84070020202,20.616447219476235
87,2.06730769158,14733.200446221166,11049.900334665877,1583.8049333147064,4410.196038325826,20.12855068222314
88,2.09134615311,15824.548627422737,10913.481812015681,1575.6511382964964,4432.442974183878,19.396705876343486
89,2.11538461464,16915.896808624304,10777.063289365486,1567.4907195390315,4455.6199923159675,18.420912801837293
90,2.13942307617,18007.24498982587,10640.64476671529,1559.448883649402,4479.765214944178,17.201171458704543
91,2.1634615377,19098.59317102744,10504.226244065094,1551.663328266417,4504.914460360241,15.737481846945238
92,2.18749999923,20189.94135222901,10367.807721414898,1544.284690481105,4531.099033306105,14.029843966559392
93,2.21153846076,21281.28953343058,10231.389198764702,1537.4768722071803,4558.343238662597,12.07825781754699
94,2.23557692229,22372.637714632147,10094.970676114504,1531.4171775345221,4586.661614247948,9.882723399908048
95,2.25961538382,23463.985895833714,9958.552153464309,1526.29618884738,4616.055885310085,7.443240713642549
96,2.28365384535,24555.33407703528,9822.133630814113,1522.3173005352,4646.511652682208,4.759809758750496
